"submission_id"	"dataset_id"	"collection_id"	"collection_title"	"pi_list"
"submission_id"	"dataset_id"	"collection_id"	"collection_title"	"pi_list"
"19270"	"19862"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19271"	"19865"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19272"	"19867"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19274"	"19870"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19276"	"19873"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19281"	"19883"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36275"	"38542"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36390"	"38658"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36391"	"38660"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36397"	"38671"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36401"	"38679"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19267"	"19856"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19278"	"19877"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19279"	"19879"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"32164"	"34056"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36391"	"38659"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36404"	"38686"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19269"	"19860"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19280"	"19881"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19282"	"19886"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36275"	"38541"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36397"	"38672"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36405"	"38687"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36408"	"38695"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19265"	"19852"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19268"	"19858"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19278"	"19878"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"31977"	"33546"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36390"	"38657"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36393"	"38664"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36395"	"38667"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36398"	"38673"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36398"	"38674"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36399"	"38676"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36401"	"38680"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36402"	"38681"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36402"	"38682"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36406"	"38690"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19263"	"19849"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19265"	"19853"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19266"	"19855"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
