Trait	Trait type	PMID	Citation
ADHD	psychiatric	30478444	Demontis et al 2019 Nat Genet
Anorexia nervosa	psychiatric	31308545	Watson et al 2019 Nat Genet
Anxiety disorders	psychiatric uncorr	31116379	Meier et al 2019 JAMA Psychiatry
ASD	psychiatric	30804558	Meier et al 2019 JAMA Psychiatry
Bipolar disorder	psychiatric	31043756	Stahl et al 2019 Nat Genet
MDD	psychiatric	30718901	Howard et al 2019 Nat Neurosci
OCD	psychiatric uncorr	30456828	Khramtsova et al 2018 Am J Med Genet
PTSD	psychiatric uncorr	31594949	Nievergelt et al 2019 Nat Commun
Shizophrenia	psychiatric	29483656	Pardiñas et al 2018 Nat Genet
Tourette syndrome	psychiatric uncorr	30818990	Yu et al 2019 Am J Psychiatry
