Sample Name*,Conc (ng/µL)*,Pool,uL,# Reads,Yield (Mb),Mean Quality Score,% Bases >= 30,Total Reads/Pool,% of Pool,Coverage,Original %,Unnamed: 12,New %,U/100uL,Ratio,uL/150uL,uL final,U,Number lanes,nM in pool,Vol/Pool,Actual/Proposed,Predicted lanes,Total lanes,Total Coverage,Uploaded to S3
5,0.5,A,11.6,975387036.0,292616.0,35.94,94.08,5132387830.0,0.190045465835344,68.3,0.4,0.4,0.3,13.4,1.1,44.87,18.0,8.94,4.0,1.15,72.5,0.92,0.31,0.5,100.0,False
65,0.5,A,11.5,481445516.0,144434.0,36.06,94.65,,0.09380536544526899,33.7,0.4,0.7,0.5,27.1,,90.12,18.0,9.03,,DDW,47.5,0.46,0.15,0.25,50.0,False
B MSSM 1172,7.0,A,0.8,1198945422.0,359684.0,35.96,94.09,,0.233603823739096,83.9,0.0,0.0,0.0,10.6,,2.52,2.9,20.3,,,,2.65,0.89,1.12,224.0,False
C MSSM 1199,2.1,A,2.8,514894594.0,154468.0,36.01,94.36,,0.10032262000746,36.0,0.1,0.2,0.1,25.6,,20.52,23.4,48.64,,,,2.63,0.88,0.98,196.0,False
D MSSM 1238,5.3,A,1.1,992466698.0,297740.0,36.01,94.31,,0.193373285666138,69.5,0.0,0.0,0.0,13.3,,4.18,4.8,25.39,,,,2.64,0.88,1.08,215.0,False
F MSSM 1346,4.8,A,1.2,969248564.0,290774.0,36.0,94.32,,0.18884943930669398,67.8,0.0,0.0,0.0,13.5,,4.67,5.4,26.12,,,,2.66,0.89,1.08,216.0,False
1,1.3,B,4.5,1101830502.0,330550.0,35.97,94.22,4799145705.0,0.22958888304892602,77.1,0.2,0.1,0.1,12.7,0.9,13.86,15.1,19.19,4.0,1.15,97.5,1.55,0.81,1.04,208.0,True
14,1.2,B,4.8,1235986546.0,370796.0,35.92,93.96,,0.257543034109651,86.5,0.2,0.1,0.1,11.3,,13.18,14.4,17.08,,DDW,22.5,1.55,0.81,1.07,214.0,True
27,1.2,B,4.8,422489921.0,126747.0,36.01,94.37,,0.08803440173942402,29.6,0.2,0.4,0.3,33.7,,38.54,24.0,29.01,,,,0.88,0.46,0.55,110.0,True
38,5.9,B,1.0,922231474.0,276670.0,36.02,94.4,,0.19216575838470001,64.6,0.0,0.0,0.0,15.7,,3.68,4.0,23.6,,,,1.54,0.81,1.0,200.0,False
60,1.7,B,3.4,628211260.0,188464.0,36.04,94.55,,0.130900643284386,44.0,0.1,0.2,0.1,22.3,,18.36,20.0,33.6,,,,1.55,0.81,0.94,188.0,False
