Sample Name*	Conc (ng/µL)*	Pool	uL	# Reads	Yield (Mb)	Mean Quality Score	% Bases >= 30	Total Reads/Pool	% of Pool	Coverage	Original %		New %	U/100uL	Ratio	uL/150uL	uL final	U	Number lanes	nM in pool	Vol/Pool	Actual/Proposed	Predicted lanes	Total lanes	Total Coverage
5	0.5	A	11.6	975387036	292616	35.94	94.08	5132387830	0.190045465835344	68.3	0.4	0.4	0.3	13.4	1.1	44.87	18	8.94	4	1.15	72.5	0.92	0.31	0.50	100
65	0.5	A	11.5	481445516	144434	36.06	94.65		0.093805365445269	33.7	0.4	0.7	0.5	27.1		90.12	18	9.03		DDW	47.5	0.46	0.15	0.25	50
B MSSM 1172	7.0	A	0.8	1198945422	359684	35.96	94.09		0.233603823739096	83.9	0.0	0.0	0.0	10.6		2.52	2.9	20.30				2.65	0.89	1.12	224
C MSSM 1199	2.1	A	2.8	514894594	154468	36.01	94.36		0.10032262000746	36.0	0.1	0.2	0.1	25.6		20.52	23.4	48.64				2.63	0.88	0.98	196
D MSSM 1238	5.3	A	1.1	992466698	297740	36.01	94.31		0.193373285666138	69.5	0.0	0.0	0.0	13.3		4.18	4.8	25.39				2.64	0.88	1.08	215
F MSSM 1346	4.8	A	1.2	969248564	290774	36	94.32		0.188849439306694	67.8	0.0	0.0	0.0	13.5		4.67	5.4	26.12				2.66	0.89	1.08	216
1	1.3	B	4.5	1101830502	330550	35.97	94.22	4799145705	0.229588883048926	77.1	0.2	0.1	0.1	12.7	0.9	13.86	15.1	19.19	4	1.15	97.5	1.55	0.81	1.04	208
14	1.2	B	4.8	1235986546	370796	35.92	93.96		0.257543034109651	86.5	0.2	0.1	0.1	11.3		13.18	14.4	17.08		DDW	22.5	1.55	0.81	1.07	214
27	1.2	B	4.8	422489921	126747	36.01	94.37		0.088034401739424	29.6	0.2	0.4	0.3	33.7		38.54	24	29.01				0.88	0.46	0.55	110
38	5.9	B	1	922231474	276670	36.02	94.4		0.1921657583847	64.6	0.0	0.0	0.0	15.7		3.68	4	23.60				1.54	0.81	1.00	200
