"Individual ID","Institution","Institution.wgs"
"CMC_MSSM_295","MSSM","MSSM"
"CMC_MSSM_295","MSSM","MSSM"
"CMC_PITT_101","Pitt","PITT"
"CMC_MSSM_304","MSSM","MSSM"
"CMC_MSSM_304","MSSM","MSSM"
"CMC_PITT_036","Pitt","PITT"
"CMC_PITT_060","Pitt","PITT"
"CMC_MSSM_193","MSSM","MSSM"
"CMC_MSSM_193","MSSM","MSSM"
"CMC_MSSM_056","MSSM","MSSM"
"CMC_MSSM_056","MSSM","MSSM"
"CMC_MSSM_331","MSSM","MSSM"
"CMC_MSSM_331","MSSM","MSSM"
"CMC_PITT_081","Pitt","PITT"
"CMC_MSSM_118","MSSM","MSSM"
"CMC_MSSM_118","MSSM","MSSM"
"CMC_MSSM_175","MSSM","MSSM"
"CMC_MSSM_175","MSSM","MSSM"
"CMC_PITT_104","Pitt","PITT"
"CMC_MSSM_373","MSSM","MSSM"
"CMC_MSSM_373","MSSM","MSSM"
"CMC_MSSM_215","MSSM","MSSM"
"CMC_MSSM_215","MSSM","MSSM"
"CMC_PITT_047","Pitt","PITT"
"CMC_MSSM_109","MSSM","MSSM"
"CMC_MSSM_109","MSSM","MSSM"
"CMC_MSSM_109","MSSM","MSSM"
"CMC_MSSM_109","MSSM","MSSM"
"CMC_MSSM_109","MSSM","MSSM"
"CMC_MSSM_391","MSSM","MSSM"
"CMC_MSSM_391","MSSM","MSSM"
"CMC_MSSM_391","MSSM","MSSM"
"CMC_MSSM_391","MSSM","MSSM"
"CMC_MSSM_391","MSSM","MSSM"
"CMC_MSSM_097","MSSM","MSSM"
"CMC_MSSM_097","MSSM","MSSM"
"CMC_MSSM_388","MSSM","MSSM"
"CMC_MSSM_388","MSSM","MSSM"
"CMC_MSSM_379","MSSM","MSSM"
"CMC_MSSM_379","MSSM","MSSM"
"CMC_MSSM_087","MSSM","MSSM"
"CMC_MSSM_087","MSSM","MSSM"
"CMC_MSSM_033","MSSM","MSSM"
"CMC_MSSM_033","MSSM","MSSM"
"CMC_MSSM_244","MSSM","MSSM"
"CMC_MSSM_244","MSSM","MSSM"
"CMC_MSSM_305","MSSM","MSSM"
"CMC_MSSM_305","MSSM","MSSM"
"CMC_MSSM_254","MSSM","MSSM"
"CMC_MSSM_254","MSSM","MSSM"
"CMC_PITT_010","Pitt","PITT"
"CMC_PITT_010","Pitt","PITT"
"CMC_PITT_024","Pitt","PITT"
"CMC_PITT_024","Pitt","PITT"
"CMC_MSSM_369","MSSM","MSSM"
"CMC_MSSM_369","MSSM","MSSM"
"CMC_MSSM_369","MSSM","MSSM"
"CMC_MSSM_106","MSSM","MSSM"
"CMC_MSSM_106","MSSM","MSSM"
"CMC_MSSM_106","MSSM","MSSM"
"CMC_MSSM_221","MSSM","MSSM"
"CMC_MSSM_221","MSSM","MSSM"
"CMC_MSSM_113","MSSM","MSSM"
"CMC_MSSM_113","MSSM","MSSM"
"CMC_MSSM_199","MSSM","MSSM"
"CMC_MSSM_199","MSSM","MSSM"
"CMC_MSSM_183","MSSM","MSSM"
"CMC_MSSM_183","MSSM","MSSM"
"CMC_MSSM_183","MSSM","MSSM"
"CMC_MSSM_338","MSSM","MSSM"
"CMC_MSSM_338","MSSM","MSSM"
"CMC_MSSM_061","MSSM","MSSM"
"CMC_MSSM_061","MSSM","MSSM"
"CMC_MSSM_076","MSSM","MSSM"
"CMC_MSSM_076","MSSM","MSSM"
"CMC_MSSM_222","MSSM","MSSM"
"CMC_MSSM_222","MSSM","MSSM"
"CMC_MSSM_179","MSSM","MSSM"
"CMC_MSSM_179","MSSM","MSSM"
"CMC_MSSM_179","MSSM","MSSM"
"CMC_MSSM_046","MSSM","MSSM"
"CMC_MSSM_046","MSSM","MSSM"
"CMC_MSSM_346","MSSM","MSSM"
"CMC_MSSM_346","MSSM","MSSM"
"CMC_MSSM_297","MSSM","MSSM"
"CMC_MSSM_297","MSSM","MSSM"
"CMC_MSSM_122","MSSM","MSSM"
"CMC_MSSM_122","MSSM","MSSM"
