name,reference,URL,version,install.date,install.method,install.success,install.error,own.test.data,own.test.success,own.test.error,test.data,test.success,test.error,issue.to.developers,fix.success,path.thinks,path.ada
LoFreq,10.1093/nar/gks918,http://csb5.github.io/lofreq/,v2.1.3.1,2018-04-02 14:09:11,binary,TRUE,,,,,,TRUE,,,,/opt/lofreq_star/2.1.3.1,/opt/lofreq_star/2.1.3.1
GATK Mutect2,10.1038/nbt.2514,,v3.8.0,2017-07-28 17:29:00,binary,TRUE,,,,,,TRUE,,,,/opt/gatk/3.8.0,
GATK HaplotypeCaller,10.1038/ng.806,,v3.8.0,2017-07-28 17:29:00,binary,TRUE,,,,,,,,,,/opt/gatk/3.8.0,
strelka2Somatic,10.1101/192872 ,https://github.com/Illumina/strelka,V2.9.2,2017-11-21 16:59:00,build,TRUE,,/usr/local/share/demo/strelka/data/,TRUE,,/big/results/bsm/2018-02-22-ref-tissue-proj-testdata,TRUE,,,,/usr/local,/usr/local
strelka2Germline,10.1101/192872 ,https://github.com/Illumina/strelka,V2.9.2,2017-11-21 16:59:00,build,TRUE,,/usr/local/share/demo/strelka/data/,,,/big/results/bsm/2018-02-22-ref-tissue-proj-testdata,TRUE,,,,/usr/local,/usr/local
JointSNVMix2,10.1093/bioinformatics/bts053,https://github.com/aroth85/JointSNVMix,v0.8,2017-11-21 14:55:00,build,TRUE,,,,,,FALSE,custom (non-VCF) output,nothing to submit since test did not fail due to an error,FALSE,/usr/local/bin/jsm.py,
EBCall,10.1093/nar/gkt126,https://github.com/friend1ws/EBCall,NaN,,build,TRUE,,,,,,FALSE,custom (non-VCF) output,nothing to submit since test did not fail due to an error,FALSE,,
deepSNV,10.1038/ncomms1814,https://github.com/gerstung-lab/deepSNV,NaN,,build,FALSE,"Error: package or namespace load failed for ‘GenomicRanges’ in loadNamespace(package, lib.loc): in ‘GenomicRanges’ methods for export not found: ngap",,,,,,,issue submitted to https://support.bioconductor.org/p/103457/; also emailed author moritz.gerstung@ebi.ac.uk about the issue on 11/27/2017,FALSE,,
Tnseq (Mutect2),10.1101/115717,https://www.sentieon.com/products/,201711,2017-11-17 19:10:52,binary,TRUE,,,,,,TRUE,,,,/opt/sentieon-genomics/current/bin/sentieon,
SiNVICT,10.1093/bioinformatics/btw536,https://github.com/sfu-compbio/sinvict,NaN,2017-11-22 17:34:14,build,TRUE,,,,,,,,,,/usr/local/bin/sinvict,
SomaticSniper,10.1093/bioinformatics/btr665,http://gmt.genome.wustl.edu/packages/somatic-sniper/index.html,v1.0.5.0,2017-11-27 12:58:16,build,TRUE,,,,,,TRUE,,,,/usr/local/bin/bam-somaticsniper,
VarDict,10.1093/nar/gkw227,https://github.com/AstraZeneca-NGS/VarDict,NaN,2017-11-27 14:07:49,NaN,TRUE,,,,,,,,,,/home/attila/tools/VarDict,
FreeBayes,https://arxiv.org/abs/1207.3907,https://github.com/ekg/freebayes,,,,,,,,,,,,,,,
Samtools,10.1093/bioinformatics/btp352,http://www.htslib.org/,v1.6,2017-09-29 16:57:24,,TRUE,,,,,,,,,,,
DeepVariant,10.1101/092890 ,https://github.com/google/deepvariant,"BIN_VERSION=""0.4.1""",2018-01-22,https://github.com/google/deepvariant/blob/r0.4/docs/deepvariant-quick-start.md#download-binaries-models-and-test-data,FALSE,ImportError: libcrypto.so.1.0.0: cannot open shared object file: No such file or director; see running the pipeline https://github.com/google/deepvariant/blob/r0.4/docs/deepvariant-quick-start.md#run-the-pipeline,,,,,,,issue submitted https://github.com/google/deepvariant/issues/41,FALSE,/home/attila/tools/deepvariant,
MosaicHunter,10.1093/nar/gkx024,http://mosaichunter.cbi.pku.edu.cn/index.php,v1.0,,,,,,,,,,,,,,
